id,type,mchoice,ans,title,desc,opa,opb,opc,opd,ope,opf,opg,oph
"meqzs04000","senior","N","D","survive"," ","v.原谅；饶恕","V.窒息；噎住","v.祝福；保佑","v.生存；幸存；幸免于","","","",""
"meqzs04001","senior","N","C","revise","央［Hnrv，aiz］美1［辛口vaiz1］ ","v.宣布；断言；声明","v.责备；归咎于n.责任；责备","v.&n.修订；校正（考前）复习","v.赚得；获得","","","",""
"meqzs04002","senior","N","B","permit","英［di'kleo(r)］ ","v.揭示；透漏；展示","v.允许；许可n.许可证","v.装饰；布置；装修","v.暗示；暗指","","","",""
"meqzs04003","senior","N","D","relate","leit］美口 ","v.暗示；暗指","v.寻找；谋求","v.原谅；饶恕","v.与...相联系；与...有关","","","",""
"meqzs04004","senior","N","C","declare","美［di'kler］ ","v.与...相联系；与...有关","v.延长；扩充","v.宣布；断言；声明","v.&n.运输，运送","","","",""
"meqzs04005","senior","N","A","suspend","英［sospend］ ","v.悬挂；暂停；使停职","v.使...负担；加载n.负担","v.抓住；夺取；逮捕","v.延长；扩充","","","",""
"meqzs04006","senior","N","C","select","英［si'lekt］美［si'kkt］ ","V.窒息；噎住","v.装饰；布置；装修","v.选择;精选a.精选的","v.正式宣布；通告","","","",""
"meqzs04007","senior","N","D","seek","英［si:k］美［sik］ ","v.&n.引用；引述","v.原谅；饶恕","v.责备；归咎于n.责任；责备","v.寻找；谋求","","","",""
"meqzs04008","senior","N","D","inquire","，叱wa】。］ ","v.&n.运输，运送","V.窒息；噎住","v.油煎；油炸","v.询问：打听；问讯","","","",""
"meqzs04009","senior","N","D","depress","英pr.es］ ","v.占用；占领；使忙于","v.证明合法；使两端对齐","v.赚得；获得","v.使沮丧；(经济)不景气；降低","","","",""
"meqzs04010","senior","N","A","press","央［pres ","v.按；压n.新闻界；出版社","v.&n.引用；引述","v.装饰；布置；装修","v.选择;精选a.精选的","","","",""
"meqzs04011","senior","N","B","extend","英［ik'stend］ ","v.摇摆；转弯n.秋千","v.延长；扩充","v.由...组成；存在于","v.给...留下印象；使钦佩","","","",""
"meqzs04012","senior","N","A","swing","英［SWIIJ］美［swi。］ ","v.摇摆；转弯n.秋千","v.暗示；暗指","v.应得；应受；值得","v.转发；转播n.接力赛","","","",""
"meqzs04013","senior","N","A","rely","英美［nlai］ ","v.信任；依赖","v.生存；幸存；幸免于","v.批准，认可；赞成","v.&n.引用；引述","","","",""
"meqzs04014","senior","N","D","remove","美［n'muv］ ","v.使沮丧；(经济)不景气；降低","v.宣布；断言；声明","V.窒息；噎住","v.移动；清除；脱衣服","","","",""
"meqzs04015","senior","N","C","imply","英［im'plai］美［im'plai］ ","v.责备；归咎于n.责任；责备","v.延长；扩充","v.暗示；暗指","v.批准，认可；赞成","","","",""
"meqzs04016","senior","N","C","quote","英［kwout］美［kwout］ ","v.证明合法；使两端对齐","v.打断；中断；阻碍","v.&n.引用；引述","v.延长；扩充","","","",""
"meqzs04017","senior","N","D","cite","英［sait］美［sait ","v.证明；证实；检验","v.装饰；布置；装修","v.表明；暗示；指出","v.引用；引证；举例","","","",""
"meqzs04018","senior","N","A","impress","央-［y-irm.pres］ ","v.给...留下印象；使钦佩","v.追求；贯彻；从事","v.悬挂；暂停；使停职","v.打断；中断；阻碍","","","",""
