id,assignee,type,contentid,title
t0001,user1,QuizItem,meqzp01000, read
t0002,user1,QuizItem,meqzp01001, wear
t0003,user1,QuizItem,meqzp01002, drink
t0004,user1,QuizItem,meqzp01003, draw
t0005,user1,QuizItem,meqzp01004, begin
t0006,user1,QuizItem,meqzp01005, do
t0007,user1,QuizItem,meqzp01006, buy
t0008,user1,QuizItem,meqzp01007, bring
t0009,user1,QuizItem,meqzp01008, please
t0010,user1,QuizItem,meqzp01009, try
t0011,user1,QuizItem,meqzp01010, speak
t0012,user1,QuizItem,meqzp01011, hear
t0013,user1,QuizItem,meqzp01012, play
t0014,user1,QuizItem,meqzp01013, ask
t0015,user1,QuizItem,meqzp01014, eat
t0016,user1,QuizItem,meqzp01015, think
t0017,user1,QuizItem,meqzp01016, write
t0018,user1,QuizItem,meqzp01017, sing
t0019,user1,QuizItem,meqzp01018, turn
t0020,user1,QuizItem,meqzp01019, study
t0021,user1,QuizItem,meqzp01020, stand
t0022,user1,QuizItem,meqzp01021, know
t0023,user1,QuizItem,meqzp01022, run
t0024,user1,QuizItem,meqzp01023, answer
t0025,user1,QuizItem,meqzp01024, wait
t0026,user1,QuizItem,meqzp01025, come
t0027,user1,QuizItem,meqzp01026, shop
t0028,user1,QuizItem,meqzp01027, go
t0029,user1,QuizItem,meqzp01028, live
t0030,user1,QuizItem,meqzp01029, sleep
t0031,user1,QuizItem,meqzp01030, listen
t0032,user1,QuizItem,meqzp01031, swim
t0033,user1,QuizItem,meqzp01032, sit
t0034,user1,QuizItem,meqzp01033, get
t0035,user1,QuizItem,meqzp01034, clean
t0036,user1,QuizItem,meqzp01035, feel
t0037,user1,QuizItem,meqzp01036, put
t0038,user1,QuizItem,meqzp01037, thank
t0039,user1,QuizItem,meqzp01038, tell
t0040,user1,QuizItem,meqzp01039, give
t0041,user1,QuizItem,meqzp01040, watch
t0042,user1,QuizItem,meqzp01041, see
t0043,user1,QuizItem,meqzp01042, take
t0044,user1,QuizItem,meqzp01043, let
t0045,user1,QuizItem,meqzp01044, say
t0046,user1,QuizItem,meqzp01045, want
t0047,user1,QuizItem,meqzp01046, have
t0048,user1,QuizItem,meqzp01047, meet
t0049,user1,QuizItem,meqzp01048, find
t0050,user1,QuizItem,meqzp01049, make
t0051,user1,QuizItem,meqzp01050, plant
t0052,user1,QuizItem,meqzp01051, v.阅读，朗读
t0053,user1,QuizItem,meqzp01052, v.穿，戴
t0054,user1,QuizItem,meqzp01053, v.喝n.饮料
t0055,user1,QuizItem,meqzp01054, v.绘画
t0056,user1,QuizItem,meqzp01055, v.开始，着手
t0057,user1,QuizItem,meqzp01056, v.&aux.做
t0058,user1,QuizItem,meqzp01057, v.买n.交易
t0059,user1,QuizItem,meqzp01058, v.拿来
t0060,user1,QuizItem,meqzp01059, v.请，使人高兴
t0061,user1,QuizItem,meqzp01060, v.试图，努力
t0062,user1,QuizItem,meqzp01061, v.说，谈话
