id,seq,type,ans,title,desc,opa,opb,opc,opd,ope,opf,opg,oph,
it0001,01,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0002,02,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0003,03,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0004,04,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0005,05,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0006,06,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0007,07,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0008,08,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0009,09,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0010,10,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0011,11,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0012,12,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0013,13,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0014,14,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0015,15,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0016,16,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0017,17,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0018,18,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0019,19,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0020,20,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0021,21,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0022,22,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0023,23,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0024,24,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
it0025,25,primary,A,"Summer will end ____ enough, and childhood as well."," ""desc""",soon,later,as soon as,latest,immediately,,,,
